config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,semantic_similarity,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,"""Reducibility Among Combinatorial Problems""","The paper written by Richard Karp in 1972 is titled ""Reducibility Among Combinatorial Problems"".",1.221004549999975,1.3213294399999995,0,0,1.0,,,,1.0,0.6560763945564613,True,0.0,0.0,0.0,1.0,0.2960819109658652,0.25,1.0,0.24630238874073,0.25,0.5977615407574893,0.49227986282874303,0.1986484062370658,0.4444444444444445,0.1777835117834348,0.79375,0.9707476496696472,0.990803062915802,0.980672830368237
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What Lake in a German island Mainau receives a fraction of the Rhine's flow?,Lake Überlingen,Lake Überlingen receives a small fraction of the Rhine's flow diverted off the island of Mainau.,1.11749273800001,1.3223280150000392,0,0,1.0,,,,1.0,0.6124512584723456,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,0.8687949224876582,0.5,0.5693569526092791,0.4461070020749931,0.09141699461616815,0.2222222222222222,0.0,0.5514705882352942,0.9697078466415405,0.9939033389091492,0.9816565251161311
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What studio does ABC own at 1500 Broadway in NYC?,Times Square Studios,ABC owns the Times Square Studios at 1500 Broadway in New York City.,1.014388957000051,1.020363939000049,0,0,1.0,,,,1.0,0.6130698381503679,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.565486976998765,0.41997917264947293,0.16089446665940121,0.375,0.0,0.7361111111111112,0.9715531468391418,0.9861893653869629,0.9788165454215182
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How many fraternities are apart of the university?,fifteen,There are fifteen fraternities at the University of Chicago.,1.215608436000025,1.2350469369999928,0,0,1.0,,,,1.0,0.6091868764823156,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5649632266574428,0.6273266455420443,0.18503371706751714,0.19999999999999998,0.0,0.2777777777777778,0.9506776928901672,0.9725686311721802,0.9614985775791274
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,At what address did Goldenson secure a new headquarters for ABC?,1330 Avenue of the Americas in Manhattan,"Goldenson secured a new headquarters for ABC at 1330 Avenue of the Americas in Manhattan, located at the corner of 54th Street.",1.0778415810000297,1.2009738140000081,0,0,1.0,,,,1.0,0.7024136338091806,True,1.0,1.0,0.2,1.0,0.7653606369886217,0.4,1.0,0.5531464700081437,0.4,0.6127316426898916,0.4731628312407281,0.1753113419920036,0.4827586206896552,0.2630046508839862,0.822328931572629,0.9778540134429932,0.9910240769386292,0.9843949971176149
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Bolshevik leaders had effectively reestablished a polity with roughly the same extent as that empire by 1921.,1.0937105969999266,1.0951643319999675,0,0,1.0,,,,1.0,0.5818534694627955,True,1.0,1.0,0.25,1.0,0.46927872602275644,0.25,1.0,0.5585075862632192,0.5,0.6249063329869337,0.50149465793141,0.17062255446514607,0.21052631578947367,0.0,0.5357142857142858,0.9656170010566711,0.9926750063896179,0.9789590715266657
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What does the Riemann hypothesis state the source of irregularity in the distribution of points comes from?,random noise,"From a physical viewpoint, the Riemann hypothesis states that the irregularity in the distribution of primes comes from random noise.",1.1137684199999285,1.2270211349999727,0,0,1.0,,,,1.0,0.6885125012480152,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880094589015754,0.4939421298736214,0.1649122072313699,0.18181818181818182,0.0,0.4934210526315789,0.9428004026412964,0.9814910888671875,0.9617567794237155
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Which work of Luther's is effective in teaching children?,Small Catechism,Luther's Small Catechism is the work that proved especially effective in helping parents teach their children.,0.8193263079999724,1.0175995229999444,0,0,1.0,,,,1.0,0.6778688917625046,True,0.0,0.0,0.0,1.0,0.2960819109658652,0.14285714285714285,1.0,0.36005461457723403,0.2857142857142857,0.5862887898838878,0.3857577079884005,0.13688236491918038,0.2222222222222222,0.0,0.5514705882352942,0.9762299060821533,0.9927182197570801,0.9844050249179865
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How was the civil disobedience shown in Antigone?,obey her conscience rather than human law,"In Sophocles' play *Antigone*, civil disobedience is depicted through the actions of Antigone, who defies King Creon’s order to prevent her from giving her brother Polynices a proper burial. She justifies this defiance by delivering a speech in which she asserts that she must obey her conscience rather than human law. Although she faces the threat of death, which is eventually carried out, her primary fear is not of the king’s punishment but of the condemnation her conscience would bring if she ",1.0059720860000425,2.337835526000049,0,0,1.0,,,,1.0,0.7467429998820871,True,1.0,1.0,0.2,1.0,1.0,0.6,1.0,0.8687949224876582,0.8,0.5982308837389683,0.4066755323996867,0.2133526820659638,0.1443298969072165,0.06083607845613676,0.4395091369881286,0.9537685513496399,0.9745302200317383,0.9640376169925852
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Where do juvenile platyctenids live?,among the plankton,Juvenile platyctenids live among the plankton.,1.119791030999977,1.139492574999963,0,0,1.0,,,,1.0,0.7930141611869439,True,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,0.8539316501572937,0.6666666666666666,0.5260664088431993,0.45339407546927957,0.17328830300719078,0.6666666666666666,0.0,0.8922558922558923,0.9732636213302612,0.9905049204826355,0.9818085841872316
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How often are elections held for the Victorian Parliament?,every four years,Elections for the Victorian Parliament are held every four years.,0.8919849760000034,4.494509667999978,0,0,1.0,,,,1.0,0.7187709074367664,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5909920647885182,0.5434001642414903,0.24828193292547662,0.4615384615384615,0.0,0.7957957957957958,0.9601080417633057,0.9659538269042969,0.9630220630705073
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What magnetic and electric force acts on a charge?,unified electromagnetic,"The unified electromagnetic force that acts on a charge is described as the sum of the electrostatic force, which is due to the electric field, and the magnetic force, which is due to the magnetic field.",0.895924530000002,1.1036267169999974,0,0,1.0,,,,1.0,0.7390377105010921,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5104620235520289,0.47407235930983105,0.17528218744200053,0.10526315789473684,0.0,0.34722222222222227,0.9316530227661133,0.9712387919425964,0.9510341569045444
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What kinds of growth did Kublai encourage?,"commercial, scientific, and cultural","Kublai Khan encouraged commercial, scientific, and cultural growth.",1.1081898649999857,1.121851644000003,0,0,1.0,,,,1.0,0.7437862097878337,True,0.0,0.0,0.0,1.0,0.2960819109658652,0.3333333333333333,1.0,0.2960819109658652,0.3333333333333333,0.5844150200305352,0.5496873650907779,0.20008788694915747,0.6666666666666666,0.345720784641941,0.9019886363636364,0.9717574715614319,0.9818909764289856,0.9767979429309246
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What was the name of the first episode of the new Doctor Who series?,Rose,"The name of the first episode of the new Doctor Who series was ""Rose"".",1.1746967910000876,1.2590524980000737,0,0,1.0,,,,1.0,0.675882112933622,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5872023980140231,0.38235930543325747,0.03119211553057355,0.13333333333333333,0.0,0.21739130434782605,0.960420548915863,0.9908086657524109,0.975377977614284
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Each of the extended metropolitan areas has a population that exceeds what number?,five million,Each of the extended metropolitan areas has a population that exceeds five million.,1.9923734569999851,2.089743525000017,0,0,1.0,,,,1.0,0.6990892998177737,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.618229263962039,0.5094807952371139,0.0934212719445392,0.2666666666666667,0.0,0.6048387096774195,0.962638258934021,0.9768632650375366,0.969698596314305
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Why is giving a defiant speech sometimes more harmful for the individual?,lack of remorse,"Giving a defiant speech can be more harmful for an individual because it may lead to an increased sentence. In the case of U.S. v. Burgos-Andujar, a judge increased a defendant's sentence from 40 to 60 days after she argued that the Navy was violating a greater law. This harsher penalty was upheld because the court interpreted her statement as evidence of a lack of remorse, an attempt to avoid responsibility, and a likelihood that she would repeat her illegal actions.",1.0109995910000862,1.8296381310000243,0,0,1.0,,,,1.0,0.4874861280252747,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539502483203621,0.5798347244338684,0.20752026035334836,0.07142857142857142,0.0,0.1388888888888889,0.9371689558029175,0.970557689666748,0.9535711405315603
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,before World War I,"The provided context does not contain information regarding Joseph Schumpeter or Norman Angell, nor does it mention their writing periods. Therefore, the question cannot be answered based on the given text.",1.1152026870000782,1.4493823880000036,0,0,0.8,,,,0.0,0.5636647830571575,False,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,1.0,0.5555555555555556,0.5946178987975036,0.45416912612649296,0.33926475155361413,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How do competing businesses attract workers?,offering a higher wage,"Competing businesses attract workers by offering higher wages than their rivals, particularly when those rivals are offering below-market wages that result in chronic understaffing.",1.0969185390000575,1.4032130430000507,0,0,1.0,,,,1.0,0.7238744688578471,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5073935447259964,0.46126728482615453,0.22624042690921053,0.14285714285714285,0.0,0.3125,0.9564266204833984,0.9734643697738647,0.9648702875385785
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,"Up to Super Bowl 50, four teams had made eight appearances in the Super Bowl. The context states that the Denver Broncos became one of four teams to have made eight appearances in the Super Bowl.",4.392621601999963,4.699986836999983,0,0,1.0,,,,1.0,0.5880983435613697,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5829615736201398,0.5484502448978812,0.2674454605620118,0.05405405405405406,0.0,0.11111111111111112,0.9443122744560242,0.9824532866477966,0.963005273075033
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What plants create most electric power?,steam turbine,"The provided context does not state that plants create electric power. Instead, it indicates that most electric power is generated using steam turbine plants.",0.9085931359999222,1.1310531909999781,0,0,1.0,,,,1.0,0.6589128166341741,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5465914230158118,0.4536777438150007,0.19914823138650928,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,The epidemic in Newcastle was the most devastating loss in any British city at the time.,1.1000215760000174,1.2034626759999583,0,0,0.0,,,,1.0,0.6675694736764202,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6178702907630466,0.5721892005572298,0.09585496019176132,0.2222222222222222,0.0,0.5514705882352942,0.9745903015136719,0.9627044200897217,0.9686108990863861
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,"What additional srevice did BSkyB offer besides Video on Demand that they claimed offered ""substantially more value""?",HD channels,"BSkyB claimed that their new deal offered ""substantially more value"" by including HD channels and Video On Demand content. Therefore, the additional service offered besides Video on Demand was HD channels.",0.8200387649999357,1.1197883359999423,0,0,1.0,,,,1.0,0.6574539921006661,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.525851578671281,0.4939643687211993,0.2598535976985691,0.12121212121212122,0.0,0.38265306122448983,0.9554004669189453,0.9830940365791321,0.9690494348867418
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Who did Tesla think would run the world of the future?,women,"Tesla believed that humanity's future would be run by ""Queen Bees,"" indicating that he thought women would become the dominant sex in the future.",1.1163927009999952,1.3333446959999264,0,0,1.0,,,,1.0,0.5427592410209396,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384751227594748,0.5819125734851476,0.18366568168310893,0.07999999999999999,0.0,0.1515151515151515,0.945948600769043,0.9764072895050049,0.9609366444173685
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What have many HT members graduated to joining?,terrorist groups,Many HT members have gone on to join terrorist groups.,1.2905192790000228,1.296985765000045,0,0,1.0,,,,1.0,0.7927004043210153,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773540164288239,0.5611884771574662,0.2663571538728283,0.33333333333333337,0.0,0.6696428571428572,0.963576078414917,0.9766408205032349,0.9700644627568857
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Approximately how many items are in the costume collection of the V&A?,"over 14,000","The costume collection of the V&A contains over 14,000 outfits plus accessories.",0.9877657360000285,1.112672343999975,0,0,1.0,,,,1.0,0.5961411405639536,True,1.0,1.0,0.16666666666666666,1.0,0.7039180890341347,0.3333333333333333,1.0,0.7860137352654724,0.6666666666666666,0.5724361655187765,0.4934963539113152,0.08677243606366847,0.2857142857142857,0.0,0.625,0.9622436761856079,0.983336329460144,0.9726756667326436
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Which park is home to the Fresno Chafffee Zoo?,Roeding Park,Roeding Park is home to the Fresno Chaffee Zoo.,1.0119311910000306,1.1168915970000626,0,0,1.0,,,,1.0,0.8075700502297508,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.623076444930312,0.2957703881369911,0.14906198734788823,0.3636363636363636,0.0,0.6944444444444445,0.9776363372802734,0.9918252825737,0.9846796979463037
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,The point at which different radiometric isotopes stop diffusing into and out of the crystal lattice is called what?,particular closure temperature,The point at which different radiometric isotopes stop diffusing into and out of the crystal lattice is called the closure temperature.,1.1145467069999313,1.2145315630000368,0,0,1.0,,,,1.0,0.7605028836181087,True,1.0,1.0,0.5,1.0,0.6131471927654584,0.5,1.0,0.6131471927654584,0.5,0.523785291817562,0.5144246163784536,0.10681131389546927,0.16666666666666666,0.0,0.3906249999999999,0.9175763726234436,0.9702310562133789,0.9431693927758524
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What could someone be investigated for?,allegations of professional misconduct,Someone could be investigated for complaints involving members or allegations of professional misconduct.,0.9185759130000406,1.0593322530000933,0,0,1.0,,,,1.0,0.7640675559924077,True,0.0,0.0,0.0,1.0,0.38685280723454163,0.5,1.0,0.6240505200038379,1.0,0.5107639462216936,0.4019120639994056,0.16846153518140838,0.47058823529411764,0.19338531381761725,0.8099489795918368,0.9788393974304199,0.9753424525260925,0.9770877961436332
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What are examples of economic actors?,"worker, capitalist/business owner, landlord","Based on the provided context, examples of economic actors are workers, capitalists (or business owners), and landlords.",1.1621833359999982,1.2855066559999386,0,0,1.0,,,,1.0,0.7190791365715914,False,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,0.8333333333333334,0.5117653708359575,0.4119939187077142,0.07546105186887431,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What field involves the study of the immune system?,Immunology,Immunology is the field that covers the study of all aspects of the immune system.,1.2070410119999906,1.311269846000073,0,0,1.0,,,,1.0,0.5574699535079767,True,0.0,0.0,0.0,1.0,0.2960819109658652,0.25,1.0,0.24630238874073,0.25,0.5819631686030309,0.5347280002520878,0.0620094093276502,0.125,0.0,0.20833333333333331,0.9667699337005615,0.9858558177947998,0.9762195985358597
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What are the phagocytes that are located in tissues in contact with the external environment called?,Dendritic cells,The phagocytes located in tissues that are in contact with the external environment are called dendritic cells.,1.4205439650000926,1.6207312570001022,0,0,1.0,,,,1.0,0.5844159581685189,True,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,1.0,0.8687949224876582,0.5714285714285714,0.5837047696102162,0.45829447732940487,0.07935381071735337,0.21052631578947367,0.0,0.5357142857142858,0.971257746219635,0.9886786937713623,0.9798907967159964
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What did the merchants of Newcastle plot to do to Timothy Dexter?,ruin him,The merchants of Newcastle plotted to ruin Timothy Dexter.,1.0216760399999885,1.1236314909999692,0,0,0.0,,,,1.0,0.6172720489443435,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5844180104501971,0.5332701608216746,0.11396453080400815,0.1818181818181818,0.0,0.1851851851851852,0.9800834655761719,0.9802579283714294,0.980170689210544
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What job did Tesla's father have in Gospic?,pastor,Tesla's father worked as a pastor in Gospić.,0.9166262029999643,1.0133428499999582,0,0,1.0,,,,1.0,0.6933670030171257,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23719771276929622,0.5,0.5759470559700944,0.5150108755686178,0.12543178173397662,0.2222222222222222,0.0,0.29411764705882354,0.955685555934906,0.9624478816986084,0.9590547986216245
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Which hotel did the Panthers stay at for the Super Bowl?,San Jose Marriott.,The Panthers stayed at the San Jose Marriott.,0.9152615900000001,1.0199781750000056,0,0,1.0,,,,1.0,0.6962076829923562,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5857006325945934,0.3717768605509918,0.11793234930519991,0.5454545454545454,0.0,0.8412698412698413,0.9843878149986267,0.9933117032051086,0.988829625664005
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What are other alternative names for French and Indian War?,Fourth Intercolonial War and the Great War for the Empire,"Other alternative names for the French and Indian War include the Seven Years' War, the Fourth Intercolonial War, and the Great War for the Empire.",1.3663909950000743,1.5083784090001018,0,0,1.0,,,,1.0,0.7480586703589314,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5826197212435331,0.34499166778835566,0.06290842891133408,0.5714285714285715,0.3589485409071449,0.6469565217391305,0.9753201007843018,0.9900406002998352,0.9826252224666299
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,"Outside of its use of automobiles, what else is southern California famous for using?",highways,Southern California is famous for its use of highways.,0.9352446269999746,1.0922001479999608,0,0,1.0,,,,1.0,0.7594872441310752,True,0.0,0.0,0.0,1.0,0.38685280723454163,0.5,1.0,0.38685280723454163,0.5,0.5931731229386144,0.4799765433343901,0.25883576752093895,0.19999999999999998,0.0,0.2777777777777778,0.9531461000442505,0.9697984457015991,0.961400169749487
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What was the last name of the designers of Newcastle's library?,Green,The last name of the designers of the Lit and Phil premises in Newcastle upon Tyne is Green. The building was designed by John and Benjamin Green.,1.132160853000073,1.289125064000018,0,0,1.0,,,,1.0,0.5821689433637778,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.6032351243080609,0.38468655555704145,0.2010670043499233,0.07142857142857142,0.0,0.1388888888888889,0.9617587327957153,0.9856541156768799,0.9735598222141622
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How many people were on the test flight of the AS-206?,unmanned,"The provided context states that the AS-206 was an ""unmanned LM test flight,"" which means there were zero people on the flight.",0.9893265889999157,1.299995241999909,0,0,1.0,,,,1.0,0.6690412591760618,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5413484769071314,0.5344537050008071,0.23337988535066279,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What is the state average growth rate?,10.0%,The state average growth rate was 10.0% in the 2000s.,1.022715496999922,1.11476306499992,0,0,1.0,,,,1.0,0.6155401985251852,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5393914622510296,0.48228773052234397,0.1446140921982696,0.18181818181818182,0.0,0.2631578947368421,0.9806839227676392,0.992595911026001,0.9866039626794209
